Author,Circulations
"Patterson, James",10099
"Beaton, M.c",5078
"Robinson, Peter",4762
"Jacobs, Anna",4461
"Child, Lee",4040
"Steel, Danielle",3975
"Connelly, Michael",3314
"Baldacci, David",3182
"Cleeves, Ann",2972
"James, Peter",2631
"Roberts, Nora",2597
"Cussler, Clive",2352
"Robb, J. D.",2246
"Rankin, Ian",2233
"Goodwin, Rosie",2136
"Griffiths, Elly",2114
"McCall Smith, Alexander",2109
"King, Stephen",2068
"Marston, Edward",2052
"Mcdermid, Val",2026
"Court, Dilly",1944
"Billingham, Mark",1934
"Archer, Jeffrey",1917
"Grisham, John",1897
"Christie, Agatha",1888
"Camilleri, Andrea",1878
"Leather, Stephen",1859
"Tope, Rebecca",1796
"Paetro, Maxine",1702
"May, Peter",1659
"Mansell, Jill",1616
"Fforde, Katie",1588
"Moyes, Jojo",1584
"Jardine, Quintin",1571
"Coben, Harlan",1542
"La Plante, Lynda",1517
"Sandford, John",1509
"Booth, Stephen",1465
"Riley, Lucinda",1449
"Lewis, Susan",1446
"Slaughter, Karin",1367
"Deaver, Jeffery",1356
"Macomber, Debbie",1354
"James, Erica",1332
"Atkinson, Kate",1331
"Barclay, Linwood",1326
"Pearse, Lesley",1322
"Nickson, Chris",1303
"Kernick, Simon",1280
"Perry, Anne",1277
"Macbride, Stuart",1275
"Clark, Mary Higgins",1270
"Leon, Donna",1249
"Matthews, Carole",1229
"Jewell, Lisa",1224
"Brody, Frances",1221
"Flynn, Katie",1199
"Diamond, Lucy",1196
"Moriarty, Liane",1196
"Johnson, Milly",1190
"Hannah, Sophie",1179
"French, Nicci",1174
"Ryan, Chris",1169
"Dickinson, Margaret",1134
"Montefiore, Santa",1131
"Ellis, Kate",1112
"Brett, Simon",1104
"Granger, Ann",1096
"Henry, Veronica",1089
"Harrod-eagles, Cynthia",1082
"Cox, Josephine",1066
"Gregory, Philippa",1065
"Gardner, Lisa",1064
"Nesbo, Jo",1054
"Kinsella, Sophie",1030
"Box, C. J.",1016
"Koontz, Dean R.",1016
"Cole, Martina",1008
"Mcnab, Andy",1008
"Evanovich, Janet",1005
"Cornwell, Bernard",998
"Andrews, Lyn",979
"Galbraith, Robert",961
"Scarrow, Simon",959
"Connolly, John",952
"Pratchett, Terry",948
"Murray, Annie",943
"Smith, Wilbur A.",921
"Gerritsen, Tess",914
"Rose, Karen",913
"Kerr, Philip",906
"Picoult, Jodi",903
"O'flanagan, Sheila",902
"Simenon, Georges",892
"Colgan, Jenny",883
"Rooney, Sally",873
"Sansom, C.j",859
"Fox, Candice",851
"Willett, Marcia",850
"Hill, Susan",839
